other,SLTV ProSeries XIV,2015-11-08,2002
online,Rising Tornado #2,2015-07-05,1821
online,FACEIT League 2 EU Closed Qualifier,2014-08-27,1461
other,D!ngIT Asia Invitational Group B,2016-01-13,2093
online,D!ngIT $2000 Weekly Cup #15,2015-09-02,1912
other,LVP Gamergy Qualifier #3,2014-11-19,1551
online,FACEIT League 2 NA Closed Qualifier,2014-08-27,1462
other,ESL One Katowice 2015 CIS Qualifier,2015-01-30,1642
online,99Damage Masters #2,2015-07-07,1822
other,Virtus.pro Staff Cup #3,2015-11-15,2003
online,FACEIT League 2015 Stage 3 EU Closed Qualifier,2015-09-04,1913
other,CEVO Professional Season 6 Placement,2014-11-19,1552
other,D!ngIT $2000 Weekly Cup #32,2016-01-05,2095
online,FPL Challenge by Björn Borg,2015-02-11,1643
online,E-sport-bets Celebration Show-match,2015-06-23,1823
other,MČR 2015,2015-11-07,2004
online,DreamHack Open Cluj-Napoca 2015 EU pre-qualifier #1,2015-09-06,1914
online,CEVO Professional Season 7,2015-06-26,1733
major,DreamHack Winter 2014,2014-11-30,1553
other,SLTV StarSeries X Finals,2014-08-31,1464
intl-lan,ESL One Katowice 2015 Main Qualifier,2015-02-15,1644
other,QuickShot Arena #20,2016-01-09,2096
other,Swelder&apos;s Showmatch,2015-11-08,2005
other,ACL Sydney 2015,2015-06-28,1824
online,Acer Predator Masters powered by Intel Qualifier,2015-04-25,1734
online,ESL Pro League Winter 2014/15 European Qualifier,2014-11-21,1554
online,DreamHack Open Cluj-Napoca 2015 EU pre-qualifier #2,2015-09-13,1915
